passengerCount,timeStamp
12,2016-09-10-18-5
11,2016-09-10-18-5
11,2016-09-10-18-5
11,2016-09-10-18-5
10,2016-09-10-18-5
9,2016-09-10-19-0
8,2016-09-10-19-0
9,2016-09-10-19-0
9,2016-09-10-19-0
11,2016-09-10-19-0
11,2016-09-10-19-0
11,2016-09-10-19-0
9,2016-09-10-19-0
9,2016-09-10-19-0
10,2016-09-10-19-0
10,2016-09-10-19-1
10,2016-09-10-19-1
11,2016-09-10-19-1
12,2016-09-10-19-1
8,2016-09-10-19-1
10,2016-09-10-19-1
10,2016-09-10-19-1
12,2016-09-10-19-1
12,2016-09-10-19-1
12,2016-09-10-19-1
11,2016-09-10-19-2
10,2016-09-10-19-2
12,2016-09-10-19-2
11,2016-09-10-19-2
11,2016-09-10-19-2
11,2016-09-10-19-2
11,2016-09-10-19-2
9,2016-09-10-19-2
10,2016-09-10-19-2
10,2016-09-10-19-2
8,2016-09-10-19-3
7,2016-09-10-19-3
6,2016-09-10-19-3
6,2016-09-10-19-3
6,2016-09-10-19-3
6,2016-09-10-19-3
7,2016-09-10-19-3
7,2016-09-10-19-3
8,2016-09-10-19-3
9,2016-09-10-19-3
8,2016-09-10-19-4
9,2016-09-10-19-4
11,2016-09-10-19-4
12,2016-09-10-19-4
11,2016-09-10-19-4
9,2016-09-10-19-4
8,2016-09-10-19-4
7,2016-09-10-19-4
7,2016-09-10-19-4
7,2016-09-10-19-4
6,2016-09-10-19-5
6,2016-09-10-19-5
6,2016-09-10-19-5
7,2016-09-10-19-5
6,2016-09-10-19-5
7,2016-09-10-19-5
7,2016-09-10-19-5
8,2016-09-10-19-5
9,2016-09-10-19-5
8,2016-09-10-19-5
9,2016-09-10-20-0
11,2016-09-10-20-0
9,2016-09-10-20-0
9,2016-09-10-20-0
10,2016-09-10-20-0
10,2016-09-10-20-0
11,2016-09-10-20-0
10,2016-09-10-20-0
13,2016-09-10-20-0
12,2016-09-10-20-0
13,2016-09-10-20-1
14,2016-09-10-20-1
11,2016-09-10-20-1
10,2016-09-10-20-1
10,2016-09-10-20-1
11,2016-09-10-20-1
14,2016-09-10-20-1
13,2016-09-10-20-1
9,2016-09-10-20-1
13,2016-09-10-20-1
12,2016-09-10-20-2
14,2016-09-10-20-2
14,2016-09-10-20-2
12,2016-09-10-20-2
13,2016-09-10-20-2
14,2016-09-10-20-2
14,2016-09-10-20-2
16,2016-09-10-20-2
17,2016-09-10-20-2
17,2016-09-10-20-2
17,2016-09-10-20-3
16,2016-09-10-20-3
12,2016-09-10-20-3
17,2016-09-10-20-3
13,2016-09-10-20-3
14,2016-09-10-20-3
14,2016-09-10-20-3
13,2016-09-10-20-3
13,2016-09-10-20-3
11,2016-09-10-20-3
10,2016-09-10-20-4
11,2016-09-10-20-4
12,2016-09-10-20-4
13,2016-09-10-20-4
14,2016-09-10-20-4
16,2016-09-10-20-4
16,2016-09-10-20-4
16,2016-09-10-20-4
13,2016-09-10-20-4
12,2016-09-10-20-4
10,2016-09-10-20-5
9,2016-09-10-20-5
8,2016-09-10-20-5
7,2016-09-10-20-5
6,2016-09-10-20-5
6,2016-09-10-20-5
6,2016-09-10-20-5
5,2016-09-10-20-5
8,2016-09-10-20-5
8,2016-09-10-20-5
10,2016-09-10-21-0
9,2016-09-10-21-0
9,2016-09-10-21-0
9,2016-09-10-21-0
5,2016-09-10-21-0
6,2016-09-10-21-0
5,2016-09-10-21-0
6,2016-09-10-21-0
7,2016-09-10-21-0
8,2016-09-10-21-0
8,2016-09-10-21-1
7,2016-09-10-21-1
5,2016-09-10-21-1
7,2016-09-10-21-1
7,2016-09-10-21-1
7,2016-09-10-21-1
6,2016-09-10-21-1
6,2016-09-10-21-1
3,2016-09-10-21-1
4,2016-09-10-21-1
4,2016-09-10-21-2
4,2016-09-10-21-2
3,2016-09-10-21-2
3,2016-09-10-21-2
4,2016-09-10-21-2
6,2016-09-10-21-2
7,2016-09-10-21-2
6,2016-09-10-21-2
8,2016-09-10-21-2
8,2016-09-10-21-2
8,2016-09-10-21-3
7,2016-09-10-21-3
6,2016-09-10-21-3
3,2016-09-10-21-3
3,2016-09-10-21-3
7,2016-09-10-21-3
7,2016-09-10-21-3
7,2016-09-10-21-3
8,2016-09-10-21-3
10,2016-09-10-21-3
7,2016-09-10-21-4
8,2016-09-10-21-4
8,2016-09-10-21-4
8,2016-09-10-21-4
10,2016-09-10-21-4
12,2016-09-10-21-4
11,2016-09-10-21-4
11,2016-09-10-21-4
10,2016-09-10-21-4
7,2016-09-10-21-4
7,2016-09-10-21-5
7,2016-09-10-21-5
6,2016-09-10-21-5
9,2016-09-10-21-5
9,2016-09-10-21-5
9,2016-09-10-21-5
10,2016-09-10-21-5
12,2016-09-10-21-5
14,2016-09-10-21-5
13,2016-09-10-21-5
14,2016-09-10-22-0
12,2016-09-10-22-0
12,2016-09-10-22-0
9,2016-09-10-22-0
10,2016-09-10-22-0
11,2016-09-10-22-0
13,2016-09-10-22-0
12,2016-09-10-22-0
13,2016-09-10-22-0
13,2016-09-10-22-0
12,2016-09-10-22-1
11,2016-09-10-22-1
14,2016-09-10-22-1
14,2016-09-10-22-1
14,2016-09-10-22-1
15,2016-09-10-22-1
15,2016-09-10-22-1
12,2016-09-10-22-1
7,2016-09-10-22-1
8,2016-09-10-22-1
9,2016-09-10-22-2
8,2016-09-10-22-2
6,2016-09-10-22-2
5,2016-09-10-22-2
5,2016-09-10-22-2
6,2016-09-10-22-2
6,2016-09-10-22-2
8,2016-09-10-22-2
8,2016-09-10-22-2
7,2016-09-10-22-2
6,2016-09-10-22-3
7,2016-09-10-22-3
8,2016-09-10-22-3
9,2016-09-10-22-3
8,2016-09-10-22-3
9,2016-09-10-22-3
10,2016-09-10-22-3
9,2016-09-10-22-3
10,2016-09-10-22-3
14,2016-09-10-22-3
14,2016-09-10-22-4
10,2016-09-10-22-4
9,2016-09-10-22-4
10,2016-09-10-22-4
9,2016-09-10-22-4
9,2016-09-10-22-4
8,2016-09-10-22-4
8,2016-09-10-22-4
8,2016-09-10-22-4
7,2016-09-10-22-4
6,2016-09-10-22-5
6,2016-09-10-22-5
6,2016-09-10-22-5
6,2016-09-10-22-5
9,2016-09-10-22-5
8,2016-09-10-22-5
9,2016-09-10-22-5
10,2016-09-10-22-5
10,2016-09-10-22-5
8,2016-09-10-22-5
9,2016-09-10-23-0
9,2016-09-10-23-0
10,2016-09-10-23-0
11,2016-09-10-23-0
9,2016-09-10-23-0
7,2016-09-10-23-0
6,2016-09-10-23-0
7,2016-09-10-23-0
7,2016-09-10-23-0
7,2016-09-10-23-0
6,2016-09-10-23-1
6,2016-09-10-23-1
7,2016-09-10-23-1
7,2016-09-10-23-1
8,2016-09-10-23-1
9,2016-09-10-23-1
7,2016-09-10-23-1
6,2016-09-10-23-1
4,2016-09-10-23-1
4,2016-09-10-23-1
5,2016-09-10-23-2
5,2016-09-10-23-2
4,2016-09-10-23-2
4,2016-09-10-23-2
4,2016-09-10-23-2
5,2016-09-10-23-2
4,2016-09-10-23-2
4,2016-09-10-23-2
5,2016-09-10-23-2
4,2016-09-10-23-2
5,2016-09-10-23-3
6,2016-09-10-23-3
6,2016-09-10-23-3
6,2016-09-10-23-3
8,2016-09-10-23-3
7,2016-09-10-23-3
7,2016-09-10-23-3
8,2016-09-10-23-3
9,2016-09-10-23-3
8,2016-09-10-23-3
9,2016-09-10-23-4
7,2016-09-10-23-4
8,2016-09-10-23-4
10,2016-09-10-23-4
8,2016-09-10-23-4
9,2016-09-10-23-4
8,2016-09-10-23-4
8,2016-09-10-23-4
9,2016-09-10-23-4
10,2016-09-10-23-4
9,2016-09-10-23-5
8,2016-09-10-23-5
7,2016-09-10-23-5
6,2016-09-10-23-5
8,2016-09-10-23-5
9,2016-09-10-23-5
9,2016-09-10-23-5
8,2016-09-10-23-5
8,2016-09-10-23-5
8,2016-09-10-23-5
9,2016-09-11-00-0
9,2016-09-11-00-0
9,2016-09-11-00-0
9,2016-09-11-00-0
7,2016-09-11-00-0
8,2016-09-11-00-0
9,2016-09-11-00-0
8,2016-09-11-00-0
10,2016-09-11-00-0
10,2016-09-11-00-0
12,2016-09-11-00-1
13,2016-09-11-00-1
14,2016-09-11-00-1
14,2016-09-11-00-1
14,2016-09-11-00-1
13,2016-09-11-00-1
13,2016-09-11-00-1
11,2016-09-11-00-1
15,2016-09-11-00-1
12,2016-09-11-00-1
11,2016-09-11-00-2
12,2016-09-11-00-2
12,2016-09-11-00-2
11,2016-09-11-00-2
12,2016-09-11-00-2
13,2016-09-11-00-2
12,2016-09-11-00-2
15,2016-09-11-00-2
14,2016-09-11-00-2
16,2016-09-11-00-2
16,2016-09-11-00-3
15,2016-09-11-00-3
14,2016-09-11-00-3
14,2016-09-11-00-3
12,2016-09-11-00-3
11,2016-09-11-00-3
12,2016-09-11-00-3
12,2016-09-11-00-3
12,2016-09-11-00-3
10,2016-09-11-00-3
10,2016-09-11-00-4
10,2016-09-11-00-4
10,2016-09-11-00-4
11,2016-09-11-00-4
10,2016-09-11-00-4
11,2016-09-11-00-4
10,2016-09-11-00-4
10,2016-09-11-00-4
9,2016-09-11-00-4
10,2016-09-11-00-4
10,2016-09-11-00-5
9,2016-09-11-00-5
10,2016-09-11-00-5
10,2016-09-11-00-5
8,2016-09-11-00-5
10,2016-09-11-00-5
10,2016-09-11-00-5
10,2016-09-11-00-5
10,2016-09-11-00-5
11,2016-09-11-00-5
12,2016-09-11-01-0
12,2016-09-11-01-0
15,2016-09-11-01-0
14,2016-09-11-01-0
15,2016-09-11-01-0
15,2016-09-11-01-0
16,2016-09-11-01-0
16,2016-09-11-01-0
16,2016-09-11-01-0
17,2016-09-11-01-0
18,2016-09-11-01-1
17,2016-09-11-01-1
18,2016-09-11-01-1
18,2016-09-11-01-1
18,2016-09-11-01-1
19,2016-09-11-01-1
13,2016-09-11-01-1
12,2016-09-11-01-1
11,2016-09-11-01-1
10,2016-09-11-01-1
10,2016-09-11-01-2
12,2016-09-11-01-2
11,2016-09-11-01-2
10,2016-09-11-01-2
12,2016-09-11-01-2
13,2016-09-11-01-2
12,2016-09-11-01-2
11,2016-09-11-01-2
11,2016-09-11-01-2
11,2016-09-11-01-2
12,2016-09-11-01-3
13,2016-09-11-01-3
12,2016-09-11-01-3
12,2016-09-11-01-3
11,2016-09-11-01-3
10,2016-09-11-01-3
10,2016-09-11-01-3
12,2016-09-11-01-3
11,2016-09-11-01-3
15,2016-09-11-01-3
13,2016-09-11-01-4
12,2016-09-11-01-4
12,2016-09-11-01-4
14,2016-09-11-01-4
12,2016-09-11-01-4
12,2016-09-11-01-4
11,2016-09-11-01-4
11,2016-09-11-01-4
10,2016-09-11-01-4
12,2016-09-11-01-4
12,2016-09-11-01-5
13,2016-09-11-01-5
13,2016-09-11-01-5
12,2016-09-11-01-5
11,2016-09-11-01-5
10,2016-09-11-01-5
10,2016-09-11-01-5
11,2016-09-11-01-5
11,2016-09-11-01-5
10,2016-09-11-01-5
11,2016-09-11-02-0
10,2016-09-11-02-0
9,2016-09-11-02-0
10,2016-09-11-02-0
9,2016-09-11-02-0
7,2016-09-11-02-0
7,2016-09-11-02-0
8,2016-09-11-02-0
7,2016-09-11-02-0
8,2016-09-11-02-0
7,2016-09-11-02-1
